order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
321545,132646,Lisa Richards,698996,Shampoo,Health & Personal Care,Cards,685,822.03,2024-09-16 10:28,USA,Houston,www.tatacliq.com,cc3295ad,N,Invalid CVV.
83223,591497,Amy Mitchell,773643,Camera,Electronics,Wallet,467,656.39,2024-05-07 20:31,India,Kolkata,www.flipkart.com,e60f3697,Y,N/A
46485,209926,Vicki Christensen,393729,Gel Pen,pen,Wallet,394,808.04,2023-12-07 03:41,India,Kolkata,www.tatacliq.com,c84edde0,N,Invalid CVV.
644148,688519,Shannon Burns,363240,Gel Pen,pen,Cards,91,266.51,2023-12-31 15:15,UK,Manchester,www.ebay.in,5dd1b600,N,Invalid CVV.
732180,8869,Michael Serrano,670534,Hair Dryer,Beauty & Personal Care,InternetBanking,616,751.81,2023-10-27 04:50,Germany,Berlin,www.flipkart.com,04a778b1,N,Invalid CVV.
328233,644349,William White PhD,534818,Tennis Racket,Sports & Outdoors,InternetBanking,122,35.25,2024-03-29 04:54,Germany,Hamburg,www.tatacliq.com,cc410d92,Y,N/A
274522,241163,Daniel Miller,541548,Headlights,Automotive,Wallet,482,348.36,2024-09-27 00:16,India,Bengaluru,www.snapdeal.com,c3ac5929,N,Invalid CVV.
779684,559312,Crystal Harvey,384407,Pants,Clothing,InternetBanking,708,267.86,2024-09-09 03:07,India,Bengaluru,www.tatacliq.com,29f7aecd,N,Invalid CVV.
548704,936005,Caleb Wood,444509,Lipstick,Beauty & Personal Care,InternetBanking,459,490.41,2024-03-08 02:12,India,Delhi,www.amazon.com,8460e42d,N,Invalid CVV.
337036,149749,Danielle Roberts,501066,Mechanical Pencil,pencil,UPI,367,81.96,2023-10-28 05:47,India,Mumbai,www.snapdeal.com,0bdc10d8,Y,N/A
397262,384027,Debra Underwood,456996,Action Figure,Toys & Games,UPI,539,332.78,2024-09-12 00:18,USA,Boston,www.tatacliq.com,48d4c4a5,Y,N/A
484054,122460,Cynthia Giles,881016,Action Figure,Toys & Games,InternetBanking,251,567.52,2024-04-12 17:08,UK,Birmingham,www.tatacliq.com,95ab8596,Y,N/A
376910,803289,Craig Smith,847226,Mechanical Pencil,pencil,Cards,58,205.7,2024-03-28 17:48,India,Delhi,www.flipkart.com,391b0ece,N,Invalid CVV.
311310,689453,Lindsay Powell,803063,Face Wash,Health & Personal Care,UPI,813,797.66,2023-11-16 19:14,Germany,Stuttgart,www.flipkart.com,12ec1a92,N,Invalid CVV.
472718,112117,Allen Nichols,66519,Graphite Pencil,pencil,Wallet,931,489.36,2023-11-25 17:44,Germany,Frankfurt,www.tatacliq.com,8f6e8d63,Y,N/A
366612,801715,Meghan Pearson,697399,Headlights,Automotive,Wallet,812,451.9,2024-01-02 15:21,India,Kolkata,www.flipkart.com,053e8659,N,Invalid CVV.
917711,806156,Gwendolyn Clayton,192858,Graphite Pencil,pencil,InternetBanking,148,95.06,2024-02-27 06:51,Germany,Hamburg,www.flipkart.com,3eb55cc2,Y,N/A
109905,386045,Cody Sims,726008,Puzzle,Toys & Games,Cards,512,168.06,2024-01-31 22:30,India,Chennai,www.snapdeal.com,b2655e75,Y,N/A
182087,985341,Jared Walker,850799,Furniture,Home & Kitchen,UPI,217,510.18,2024-06-15 07:42,India,Bengaluru,www.flipkart.com,be6c4bbe,N,Invalid CVV.
455104,835889,Jonathan Barr,209680,Tennis Racket,Sports & Outdoors,InternetBanking,880,83.47,2024-01-28 06:48,India,Mumbai,www.snapdeal.com,025150d6,N,Invalid CVV.
754503,208883,Anthony Powell,85749,Shirt,Clothing,UPI,899,198.82,2024-05-08 21:47,Germany,Berlin,www.flipkart.com,f64e9c9f,Y,N/A
431797,774143,Erin Johnson,269101,Board Game,Toys & Games,Cards,714,399.33,2023-11-09 13:42,UK,London,www.amazon.com,59186cae,N,Invalid CVV.
661759,70709,Brandon Pruitt,871157,Dress,Clothing,InternetBanking,285,743.48,2023-11-20 21:18,Germany,Munich,www.amazon.com,d6e15f6c,N,Invalid CVV.
840144,805274,Matthew Vazquez,51439,Pen,Office Products,UPI,654,752.35,2024-03-10 04:24,UK,Manchester,www.tatacliq.com,10273b3c,N,Invalid CVV.
766392,646198,Allen Mendoza Jr.,791369,Football,Sports & Outdoors,Cards,607,429.2,2024-03-03 12:00,India,Chennai,www.ebay.in,3668e34f,Y,N/A
8021,8234,Ronald Miller,961290,Car Tire,Automotive,InternetBanking,687,687.48,2024-03-08 19:10,Germany,Hamburg,www.snapdeal.com,8c95c8e9,N,Invalid CVV.
495821,551352,Javier Davis,15802,Notebook,Office Products,InternetBanking,398,247.47,2024-01-06 12:05,UK,Birmingham,www.snapdeal.com,6804b23e,N,Invalid CVV.
792711,260794,Jill Joseph,616444,Yoga Mat,Sports & Outdoors,UPI,855,922.52,2024-09-11 14:54,UK,Oxford,www.ebay.in,470d25ce,N,Invalid CVV.
831280,835879,Michelle Johnson,684626,Vitamins,Health & Personal Care,Wallet,809,487.54,2024-03-02 01:46,UK,Oxford,www.ebay.in,3b3be2e0,N,Invalid CVV.
169979,339433,Frank Andrews,783608,Mechanical Pencil,pencil,UPI,209,199.6,2024-03-24 21:59,USA,Los Angeles,www.flipkart.com,a645683b,N,Invalid CVV.
417001,554459,William Bell,808864,Face Wash,Health & Personal Care,Wallet,32,396.04,2024-01-24 06:01,Germany,Hamburg,www.tatacliq.com,33f0bd86,Y,N/A
698886,481523,Christopher Allen,817344,Foundation,Beauty & Personal Care,InternetBanking,820,282.62,2023-12-09 13:47,UK,Leeds,www.snapdeal.com,c8c46bf4,Y,N/A
566200,786418,Maria Cook,725539,Face Wash,Health & Personal Care,InternetBanking,782,234.18,2024-09-05 10:23,India,Kolkata,www.ebay.in,2c31b156,Y,N/A
368337,349936,William Craig,727558,Foundation,Beauty & Personal Care,InternetBanking,43,60.38,2024-09-25 08:23,India,Kolkata,www.flipkart.com,7326dd65,N,Invalid CVV.
792147,609009,Sandra Wagner,195773,Tennis Racket,Sports & Outdoors,UPI,927,14.83,2024-07-06 17:57,Germany,Berlin,www.ebay.in,a62fec79,Y,N/A
40528,489290,Jacob Jenkins,292259,Tennis Racket,Sports & Outdoors,InternetBanking,19,460.1,2024-06-26 06:03,USA,Los Angeles,www.flipkart.com,b1d0b115,N,Invalid CVV.
835635,971437,Robert Sanchez,527046,Football,Sports & Outdoors,InternetBanking,788,812.07,2024-09-21 13:15,Germany,Berlin,www.tatacliq.com,a45a9bae,N,Invalid CVV.
677470,476864,Amy Summers,352320,Mechanical Pencil,pencil,Cards,840,173.57,2024-02-02 07:41,USA,Los Angeles,www.amazon.com,07503152,N,Invalid CVV.
978395,285437,Melissa Cowan,945584,Football,Sports & Outdoors,Wallet,829,39.85,2024-04-02 21:17,USA,Chicago,www.snapdeal.com,c67f36ad,N,Invalid CVV.
80583,127321,Karen Hernandez,258015,Brake Pads,Automotive,Cards,884,199.35,2024-07-01 15:15,India,Delhi,www.ebay.in,a4915cb8,N,Invalid CVV.
169732,193095,Danielle Morgan,985711,Car Tire,Automotive,InternetBanking,307,64.77,2023-12-22 08:21,UK,Birmingham,www.ebay.in,7b1d8bfb,Y,N/A
446058,101222,Spencer Kelley,715997,Notebook,Office Products,Cards,355,68.42,2023-11-28 18:50,India,Delhi,www.amazon.com,6a3cb3c9,N,Invalid CVV.
253951,241783,Lynn Hodges,803965,Headlights,Automotive,InternetBanking,204,641.53,2024-03-05 16:23,USA,Los Angeles,www.flipkart.com,c9157905,Y,N/A
856489,701296,Megan Giles,201822,Laptop,Electronics,InternetBanking,11,817.05,2023-11-15 15:35,USA,Boston,www.amazon.com,c6d377b7,N,Invalid CVV.
726763,781882,Austin Torres,319184,Shampoo,Health & Personal Care,Wallet,539,118.98,2024-08-10 02:28,USA,Chicago,www.flipkart.com,6091dd1d,Y,N/A
